kind,N,phi,gamma,C,lmax,a0_pred,a0_sim,rel_err,log_phi,log_err,log_N,phi_gamma
ws,40,0.03323262839879154,0.0015333877453480582,0.3975,4.246254170960381,0.039250280354501586,0.0387109375,0.013932570207104537,-3.404193012122324,-4.273454227754148,3.6888794541139363,5.095850513241281e-05
ws,40,0.015384615384615385,0.0006397582816519698,0.40499999999999997,4.091404587403055,0.040735806764213296,0.0425390625,0.04239058478984359,-4.1743222720080455,-3.1608054083800377,3.6888794541139363,9.842435102337997e-06
ws,40,0.021406727828746173,0.0008997030699049446,0.3225,4.184220214128654,0.039832192890778405,0.0387109375,0.02896482139649561,-3.8440033086473044,-3.5416387165930816,3.6888794541139363,1.9259698744142543e-05
ws,40,0.021406727828746173,0.0010870256428776592,0.38,4.195437637586445,0.039725692779584924,0.0387109375,0.026213658080094904,-3.8440033086473044,-3.641436555953442,3.6888794541139363,2.3269662079949886e-05
ws,40,0.021406727828746173,0.000886803675002712,0.38916666666666666,4.107760151536552,0.040573612021705605,0.0425390625,0.04620342722161302,-3.8440033086473044,-3.074679658177946,3.6888794541139363,1.898356490831493e-05
ws,40,0.02735562310030395,0.0012772249703778549,0.4325,4.17023234068863,0.03996579879747061,0.0387109375,0.03241619496997732,-3.598796618541735,-3.4290662880101253,3.6888794541139363,3.4939284903953476e-05
er,50,0.10148514851485149,0.003166232635803512,0.10151504051504051,7.441957767970463,0.02239554051005039,0.0233984375,0.04286170775076804,-2.287832957646853,-3.1497531142927877,3.912023005428146,0.0003213255892770891
er,50,0.13794871794871794,0.00895230788770962,0.08222222222222221,5.84849443718066,0.028497362604487736,0.027226562500000002,0.04667501101131417,-1.980866022911596,-3.0645249291287535,3.912023005428146,0.0012349593957917374
er,50,0.13119834710743805,0.006871837352757426,0.09165800865800865,6.801809853617217,0.024503282251860214,0.0233984375,0.0472187406471143,-2.031037378799789,-3.0529432397770773,3.912023005428146,0.000901573702272927
er,50,0.08485067873303168,0.002860831473354253,0.099994227994228,7.027343037120456,0.023716882153935734,0.0233984375,0.013609654659022979,-2.466850502783042,-4.296902362151348,3.912023005428146,0.00024274349225492738
er,50,0.13388259526261587,0.006610987602217788,0.11488888888888889,6.738918150791076,0.024731961857572322,0.0233984375,0.05699202596636299,-2.0107845486328677,-2.864826370100454,3.912023005428146,0.0008850961774338955
er,50,0.1312741312741313,0.006195299649442099,0.13026551226551228,6.996977048867257,0.023819810398498936,0.0233984375,0.018008591321490363,-2.0304599194653314,-4.01685081180685,3.912023005428146,0.0008132825794634417
